"CrashName","Name","Sex","Age","Speed","VehicleDamage","PartyCategory","Sobriety","VehicleDirection","MovementPrecedingCollision","PartyType","OtherAssociatedFactor","VehicleCount","ViolationCode","ViolationCodeDescription"
"CR-0000086975","ACV-0000177868","","0","","Unknown","Driver","Impairment Not Known","North","Proceeding Straight","Car","Unknown","1","Unknown","Unknown"
"CR-0000086984","ACV-0000177890","M","29","","Unknown","Driver","Impairment Not Known","West","Backing","Car","Unknown","1","Unknown","Unknown"
"CR-0000086973","ACV-0000177866","M","23","","Not Applicable","Pedestrian","Impairment Not Known","East","Proceeding Straight","Skateboard","Unknown","1","Unknown","Unknown"
"CR-0000086970","ACV-0000177859","M","36","","Minor","Driver","Impairment Not Known","South","Backing","Panel Truck","None Apparent","1","22106","Unsafe Backing"
"CR-0000086977","ACV-0000177872","F","19","","Major","Driver","Had Not Been Drinking","East","Proceeding Straight","Car","Inattention","1","22350","Speeding"
"CR-0000086966","ACV-0000177853","M","21","","Major","Driver","Had Not Been Drinking","West","Making Left Turn","Car","Inattention","1","21801","Yield Left Turn"
"CR-0000086972","ACV-0000177864","M","19","","Moderate","Driver","Had Not Been Drinking","South","Proceeding Straight","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000086978","ACV-0000177875","M","35","","Major","Driver","Had Not Been Drinking","West","Proceeding Straight","Car","Vision Obscurement","1","22350","Speeding"
"CR-0000086964","ACV-0000177850","M","32","","Minor","Driver","Had Not Been Drinking","West","Proceeding Straight","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000086971","ACV-0000177861","F","72","","Major","Driver","Had Not Been Drinking","East","Changing Lanes","Car","Uninvolved Vehicle","1","22107","Unsafe Turn Movement"
"CR-0000086974","ACV-0000177867","M","43","","Major","Driver","Had Not Been Drinking","East","Making Right Turn","Car","Other Violation","1","22350","Speeding"
"CR-0000086982","ACV-0000177886","F","29","","Minor","Driver","Had Not Been Drinking","South","Proceeding Straight","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000086981","ACV-0000177882","M","23","","Major","Driver","Had Not Been Drinking","West","Proceeding Straight","Car","None Apparent","1","21453","Run Red Light"
"CR-0000086963","ACV-0000177847","","0","","Minor","Driver","Impairment Not Known","North","Other Unsafe Turning","Car","Other Violation","1","22350","Speeding"
"CR-0000086958","ACV-0000177841","","0","","Major","Driver","Impairment Not Known","North","Proceeding Straight","Car","Other Violation","1","Unknown","Unknown"
"CR-0000086982","ACV-0000177885","F","35","","Major","Driver","Had Been Drinking - Under Influence","East","Making Right Turn","Car","Other Violation","1","22107","Unsafe Turn Movement"
"CR-0000086976","ACV-0000177870","M","29","","Moderate","Driver","Had Not Been Drinking","South","Proceeding Straight","Car","Unknown","1","Unknown","Unknown"
"CR-0000086980","ACV-0000177880","M","15","","Major","Driver","Had Not Been Drinking","North","Making Right Turn","Car","None Apparent","1","21804","Yield From Driveway/Curb"
"CR-0000086969","ACV-0000177857","","0","","Unknown","Driver","Impairment Not Known","North","Making Right Turn","Car","Other Violation","1","22107","Unsafe Turn Movement"
"CR-0000086965","ACV-0000177851","F","84","","Minor","Driver","Had Not Been Drinking","North","Making Right Turn","Car","Inattention","1","22350","Speeding"
"CR-0000086960","ACV-0000177843","","0","","Major","Driver","Impairment Not Known","East","Proceeding Straight","Car","Other Violation","1","22350","Speeding"
"CR-0000086964","ACV-0000177849","","0","","Unknown","Driver","Impairment Not Known","East","Making Left Turn","Car","Other Violation","1","22107","Unsafe Turn Movement"
"CR-0000086979","ACV-0000177879","F","40","","Minor","Driver","Had Not Been Drinking","South","Making Right Turn","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000086971","ACV-0000177862","","0","","Minor","Parked","Not Applicable","Not Applicable","Parked","Panel Truck","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000086973","ACV-0000177865","","0","","Unknown","Driver","Impairment Not Known","East","Unknown","Unknown","Other Violation","1","Unknown","Unknown"
"CR-0000086977","ACV-0000177873","F","53","","Moderate","Driver","Had Not Been Drinking","East","Stopped","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000086957","ACV-0000177839","F","26","","Major","Driver","Impairment Not Known","South","Making Left Turn","Car","Other Violation","1","21451","Failure To Go On Green/Arrow"
"CR-0000086972","ACV-0000177863","M","19","","Moderate","Driver","Had Not Been Drinking","East","Making Left Turn","Car","Entering/Leaving Ramp","1","22107","Unsafe Turn Movement"
"CR-0000086965","ACV-0000177852","F","65","","Not Applicable","Bicycle","Had Not Been Drinking","East","Proceeding Straight","Bicycle","Unknown","1","Not Applicable","Not Applicable"
"CR-0000086975","ACV-0000177869","M","36","","Unknown","Driver","Impairment Not Known","North","Stopped","Car","Unknown","1","Unknown","Unknown"
"CR-0000086968","ACV-0000177856","M","57","","Major","Driver","Impairment Not Known","East","Proceeding Straight","Car","Other","1","22350","Speeding"
"CR-0000086984","ACV-0000177891","","0","","Unknown","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Unknown","Unknown"
"CR-0000086967","ACV-0000177855","M","16","","Major","Driver","Impairment Not Known","West","Proceeding Straight","Car","Other Violation","1","Unknown","Unknown"
"CR-0000086969","ACV-0000177858","M","28","","Minor","Driver","Had Not Been Drinking","North","Making Right Turn","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000086983","ACV-0000177889","M","0","","Minor","Driver","Not Applicable","East","Proceeding Straight","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000086981","ACV-0000177883","M","47","","Minor","Driver","Had Not Been Drinking","South","Proceeding Straight","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000086957","ACV-0000177840","M","52","","Major","Driver","Impairment Not Known","North","Proceeding Straight","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000086966","ACV-0000177854","M","23","","Major","Driver","Had Not Been Drinking","East","Proceeding Straight","Motorcycle/Moped","Unknown","1","Not Applicable","Not Applicable"
"CR-0000086970","ACV-0000177860","F","39","","Minor","Driver","Impairment Not Known","West","Slowing/Stopping","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000086959","ACV-0000177842","M","35","","Major","Driver","Had Not Been Drinking","East","Proceeding Straight","Panel Truck","Other Violation","1","22350","Speeding"
"CR-0000086983","ACV-0000177888","F","22","","Moderate","Driver","Had Not Been Drinking","West","Proceeding Straight","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000086961","ACV-0000177844","M","26","","Moderate","Driver","Had Been Drinking - Under Influence","East","Making Left Turn","Car","Under Influence","1","22107","Unsafe Turn Movement"
"CR-0000086978","ACV-0000177877","M","20","","Minor","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000086976","ACV-0000177871","M","32","","Moderate","Driver","Had Not Been Drinking","West","Proceeding Straight","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000086963","ACV-0000177848","","0","","Minor","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000086962","ACV-0000177846","","0","","Major","Driver","Impairment Not Known","West","Proceeding Straight","Car","Other Violation","1","21658","Unsafe Lane Change"
"CR-0000086981","ACV-0000177884","F","59","","Major","Driver","Had Not Been Drinking","South","Proceeding Straight","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000086961","ACV-0000177845","","0","","Major","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000086979","ACV-0000177878","M","12","","Not Applicable","Bicycle","Had Not Been Drinking","East","Entering Traffic","Bicycle","Other Violation","1","21200","Laws Applied To Bike"
"CR-0000086980","ACV-0000177881","F","33","","Major","Driver","Had Not Been Drinking","East","Proceeding Straight","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000086983","ACV-0000177887","M","51","","Moderate","Driver","Had Not Been Drinking","South","Proceeding Straight","Panel Truck","Other Violation","1","21453","Run Red Light"
"CR-0000086978","ACV-0000177876","M","20","","Not Applicable","Pedestrian","Had Not Been Drinking","Not Applicable","Other (Ped)","Panel Truck","Other","1","Not Applicable","Not Applicable"
"CR-0000086977","ACV-0000177874","F","62","","Moderate","Driver","Had Not Been Drinking","East","Stopped","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000086985","ACV-0000177892","","0","","Minor","Driver","Impairment Not Known","West","Proceeding Straight","Car","Other Violation","1","22350","Speeding"
"CR-0000086986","ACV-0000177894","","0","","Unknown","Driver","Impairment Not Known","East","Backing","Car","Unknown","1","Unknown","Unknown"
"CR-0000086987","ACV-0000177896","F","30","","Major","Driver","Impairment Not Known","West","Proceeding Straight","Car","Unknown","1","21453","Run Red Light"
"CR-0000086989","ACV-0000177901","F","28","","Minor","Driver","Impairment Not Known","West","Stopped","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000086985","ACV-0000177893","M","17","","Not Applicable","Bicycle","Had Not Been Drinking","North","Entering Traffic","Bicycle","Unknown","1","Not Applicable","Not Applicable"
"CR-0000086986","ACV-0000177895","M","44","","Unknown","Driver","Impairment Not Known","South","Proceeding Straight","Car","Unknown","1","Unknown","Unknown"
"CR-0000086989","ACV-0000177902","M","32","","Minor","Driver","Impairment Not Known","West","Stopped","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000086994","ACV-0000177911","M","25","","Moderate","Driver","Had Not Been Drinking","East","Entering Traffic","Car","None Apparent","1","21804","Yield From Driveway/Curb"
"CR-0000086987","ACV-0000177897","F","54","","Moderate","Driver","Impairment Not Known","North","Proceeding Straight","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000086988","ACV-0000177898","M","0","","Unknown","Driver","Impairment Not Known","West","Slowing/Stopping","Car","Other Violation","1","22350","Speeding"
"CR-0000086988","ACV-0000177899","M","64","","Minor","Driver","Had Not Been Drinking","West","Stopped","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000086993","ACV-0000177910","F","41","","Moderate","Driver","Had Not Been Drinking","South","Making Left Turn","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000086994","ACV-0000177912","M","53","","Moderate","Driver","Had Not Been Drinking","South","Proceeding Straight","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000086989","ACV-0000177900","","0","","Major","Driver","Impairment Not Known","West","Proceeding Straight","Panel Truck","Other Violation","1","22350","Speeding"
"CR-0000086990","ACV-0000177903","F","43","","Moderate","Driver","Had Not Been Drinking","East","Making Right Turn","Car","None Apparent","1","22107","Unsafe Turn Movement"
"CR-0000086990","ACV-0000177904","F","59","","Minor","Driver","Had Not Been Drinking","East","Proceeding Straight","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000086991","ACV-0000177905","","0","","Unknown","Driver","Impairment Not Known","Unknown","Proceeding Straight","Car","Unknown","1","Unknown","Unknown"
"CR-0000086991","ACV-0000177906","","0","","Unknown","Driver","Impairment Not Known","Unknown","Stopped","Car","Unknown","1","Unknown","Unknown"
"CR-0000086992","ACV-0000177907","","0","","Unknown","Driver","Impairment Not Known","North","Backing","Car","Other Violation","1","22106","Unsafe Backing"
"CR-0000086992","ACV-0000177908","F","30","","Unknown","Driver","Impairment Not Known","South","Stopped","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000086993","ACV-0000177909","F","23","","Moderate","Driver","Had Not Been Drinking","North","Proceeding Straight","Car","Inattention","1","21453","Run Red Light"
"CR-0000086996","ACV-0000177915","M","37","","Totaled","Driver","Had Not Been Drinking","South","Proceeding Straight","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000086995","ACV-0000177913","M","27","","Unknown","Bicycle","Had Been Drinking - Impairment Unknown","East","Making Left Turn","Car","Other Violation","1","21663","Driving On Sidewalk"
"CR-0000086996","ACV-0000177914","M","64","","Minor","Driver","Had Not Been Drinking","East","Making Left Turn","Panel Truck","None Apparent","1","21804","Yield From Driveway/Curb"
"CR-0000086997","ACV-0000177916","M","30","","Moderate","Driver","Had Been Drinking - Impairment Unknown","West","Proceeding Straight","Car","Other Violation","1","21453","Run Red Light"
"CR-0000086999","ACV-0000177926","","0","","Minor","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000087000","ACV-0000177927","","0","","Unknown","Driver","Impairment Not Known","North","Proceeding Straight","Car","Other Violation","1","22350","Speeding"
"CR-0000086998","ACV-0000177918","","0","","Minor","Driver","Had Been Drinking - Impairment Unknown","West","Proceeding Straight","Car","None Apparent","1","22350","Speeding"
"CR-0000086998","ACV-0000177919","","0","","Minor","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000086999","ACV-0000177921","M","18","","Major","Driver","Had Been Drinking - Under Influence","North","Proceeding Straight","Car","Other Violation","1","21658","Unsafe Lane Change"
"CR-0000086997","ACV-0000177917","M","44","","Moderate","Driver","Had Not Been Drinking","East","Making Left Turn","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000086999","ACV-0000177922","","0","","Unknown","Driver","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000087001","ACV-0000177930","","0","","Major","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000086998","ACV-0000177920","","0","","Minor","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000086999","ACV-0000177923","","0","","Unknown","Driver","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000086999","ACV-0000177925","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000086999","ACV-0000177924","","0","","Unknown","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000087003","ACV-0000177934","M","38","","Major","Driver","Had Been Drinking - Under Influence","South","Ran Off Road","Panel Truck","Other Violation","1","22107","Unsafe Turn Movement"
"CR-0000087000","ACV-0000177928","M","22","","Moderate","Driver","Impairment Not Known","North","Stopped","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000087001","ACV-0000177929","","0","","Major","Driver","Impairment Not Known","West","Proceeding Straight","Panel Truck","Other Violation","1","21658","Unsafe Lane Change"
"CR-0000087007","ACV-0000177942","M","0","","Minor","Driver","Not Applicable","North","Making Right Turn","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000087011","ACV-0000177949","M","0","","Unknown","Driver","Had Been Drinking - Impairment Unknown","North","Proceeding Straight","Car","Other Violation","1","22350","Speeding"
"CR-0000087011","ACV-0000177950","F","61","","Minor","Driver","Had Not Been Drinking","North","Proceeding Straight","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000087002","ACV-0000177931","M","25","","Major","Driver","Impairment Not Known","East","Passing Other Vehicles","Panel Truck","Other Violation","1","21755","Pass On Right"
"CR-0000087002","ACV-0000177933","","0","","Major","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000087005","ACV-0000177938","F","48","","None","Driver","Had Not Been Drinking","South","Proceeding Straight","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000087003","ACV-0000177935","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000087004","ACV-0000177936","","0","","Major","Unknown","Impairment Not Known","Unknown","Other Unsafe Turning","Car","Other Violation","1","Unknown","Unknown"
"CR-0000087005","ACV-0000177937","","39","","Not Applicable","Pedestrian","Had Not Been Drinking","West","Other","Pedestrian","None Apparent","1","21954","Pedestrian Yield Car"
"CR-0000087002","ACV-0000177932","F","65","","Moderate","Driver","Had Not Been Drinking","East","Making Left Turn","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000087006","ACV-0000177939","M","19","","Major","Driver","Had Not Been Drinking","North","Proceeding Straight","Car","None Apparent","1","Unknown","Unknown"
"CR-0000087007","ACV-0000177941","M","16","","Not Applicable","Bicycle","Not Applicable","West","Proceeding Straight","Bicycle","None Apparent","1","21650","Driving Wrong Side"
"CR-0000087006","ACV-0000177940","F","43","","Moderate","Driver","Had Not Been Drinking","South","Making Left Turn","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000087008","ACV-0000177944","M","23","","Minor","Driver","Had Not Been Drinking","West","Proceeding Straight","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000087009","ACV-0000177946","M","73","","Minor","Driver","Had Been Drinking - Not Under Influence","West","Making Left Turn","Panel Truck","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000087012","ACV-0000177952","M","38","","Moderate","Driver","Had Not Been Drinking","South","Proceeding Straight","Car","Vision Obscurement","1","Unknown","Unknown"
"CR-0000087008","ACV-0000177943","F","80","","Minor","Driver","Had Not Been Drinking","South","Proceeding Straight","Car","None Apparent","1","21802","Yield Stop Sign"
"CR-0000087010","ACV-0000177947","M","0","","Unknown","Driver","Impairment Not Known","South","Making Right Turn","Unknown","Other Violation","1","22450","Fail Stop/Sign"
"CR-0000087010","ACV-0000177948","M","16","","Not Applicable","Bicycle","Had Not Been Drinking","East","Making Right Turn","Bicycle","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000087009","ACV-0000177945","M","34","","Major","Driver","Had Been Drinking - Not Under Influence","West","Other Unsafe Turning","Car","None Apparent","1","22107","Unsafe Turn Movement"
"CR-0000087012","ACV-0000177951","M","11","","Not Applicable","Pedestrian","Not Applicable","West","Proceeding Straight","Pedestrian","None Apparent","1","Unknown","Unknown"
"CR-0000087017","ACV-0000177961","","0","","Major","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000087016","ACV-0000177958","M","73","","Major","Driver","Had Not Been Drinking","West","Making Left Turn","Panel Truck","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000087017","ACV-0000177960","","0","","Minor","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000087016","ACV-0000177957","F","43","","Moderate","Driver","Had Not Been Drinking","North","Proceeding Straight","Car","None Apparent","1","21453","Run Red Light"
"CR-0000087017","ACV-0000177959","F","20","","Moderate","Driver","Had Not Been Drinking","South","Proceeding Straight","Car","Other Violation","1","12500","Unlicensed Driver"
"CR-0000087014","ACV-0000177953","M","26","","Minor","Driver","Had Not Been Drinking","West","Proceeding Straight","Panel Truck","None Apparent","1","22350","Speeding"
"CR-0000087014","ACV-0000177954","M","52","","Minor","Driver","Had Not Been Drinking","West","Changing Lanes","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000087015","ACV-0000177955","M","22","","Moderate","Driver","Had Not Been Drinking","North","Proceeding Straight","Car","None Apparent","1","22350","Speeding"
"CR-0000087015","ACV-0000177956","F","53","","Major","Driver","Had Not Been Drinking","West","Proceeding Straight","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000087018","ACV-0000177962","M","20","","Major","Driver","Had Not Been Drinking","South","Making Left Turn","Car","Unknown","1","21800","Yield Uncontrolled Intersection"
"CR-0000087022","ACV-0000177969","F","49","","Minor","Driver","Impairment Not Known","East","Making Left Turn","Car","None Apparent","1","21801","Yield Left Turn"
"CR-0000087023","ACV-0000177971","M","22","","Major","Driver","Had Not Been Drinking","North","Proceeding Straight","Car","Unknown","1","22350","Speeding"
"CR-0000087023","ACV-0000177972","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000087021","ACV-0000177968","M","37","","Major","Driver","Had Not Been Drinking","West","Proceeding Straight","Car","None Apparent","1","22350","Speeding"
"CR-0000087024","ACV-0000177973","","0","","Unknown","Driver","Impairment Not Known","East","Making Left Turn","Car","Other Violation","1","21703","Follow Too Closely"
"CR-0000087024","ACV-0000177974","M","64","","Minor","Driver","Impairment Not Known","East","Making Left Turn","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000087018","ACV-0000177963","M","58","","Major","Driver","Had Not Been Drinking","West","Proceeding Straight","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000087019","ACV-0000177964","M","83","","Minor","Driver","Had Not Been Drinking","East","Making Right Turn","Panel Truck","Other Violation","1","22350","Speeding"
"CR-0000087022","ACV-0000177970","M","31","","Not Applicable","Bicycle","Impairment Not Known","West","Proceeding Straight","Bicycle","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000087025","ACV-0000177975","","0","","Unknown","Driver","Impairment Not Known","West","Proceeding Straight","Car","Other Violation","1","22350","Speeding"
"CR-0000087025","ACV-0000177976","M","31","","Minor","Driver","Had Not Been Drinking","West","Stopped","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000087019","ACV-0000177965","","0","","Major","Parked","Not Applicable","Not Applicable","Parked","Car","Not Applicable","1","Not Applicable","Not Applicable"
"CR-0000087020","ACV-0000177966","M","19","","Moderate","Driver","Had Not Been Drinking","West","Making Left Turn","Car","Speeding","1","21801","Yield Left Turn"
"CR-0000087020","ACV-0000177967","F","25","","Moderate","Driver","Had Not Been Drinking","East","Proceeding Straight","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000087038","ACV-0000178006","","0","","Major","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000087042","ACV-0000178012","M","29","","Unknown","Driver","Had Not Been Drinking","East","Entering Traffic","Car","Unknown","1","21804","Yield From Driveway/Curb"
"CR-0000087040","ACV-0000178009","F","65","","Major","Driver","Had Not Been Drinking","South","Ran Off Road","Car","Inattention","1","22350","Speeding"
"CR-0000087037","ACV-0000178000","","0","","Unknown","Driver","Impairment Not Known","East","Making Left Turn","Panel Truck","Entering/Leaving Ramp","1","22107","Unsafe Turn Movement"
"CR-0000087028","ACV-0000177983","","0","","Minor","Parked","Not Applicable","Not Applicable","Parked","Panel Truck","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000087034","ACV-0000177996","","0","","Major","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000087032","ACV-0000177990","F","26","","Major","Driver","Had Not Been Drinking","South","Proceeding Straight","Car","None Apparent","1","Unknown","Unknown"
"CR-0000087027","ACV-0000177979","M","31","","Moderate","Driver","Had Not Been Drinking","North","Slowing/Stopping","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000087038","ACV-0000178005","","0","","Minor","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000087031","ACV-0000177989","F","18","","Unknown","Driver","Impairment Not Known","East","Stopped","Car","Unknown","1","Unknown","Unknown"
"CR-0000087033","ACV-0000177993","","0","","Unknown","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Unknown","Unknown"
"CR-0000087028","ACV-0000177981","","0","","Unknown","Driver","Impairment Not Known","East","Making Left Turn","Panel Truck","Other Violation","1","22450","Fail Stop/Sign"
"CR-0000087042","ACV-0000178013","F","27","","Unknown","Driver","Had Not Been Drinking","South","Proceeding Straight","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000087036","ACV-0000177999","","0","","Unknown","Driver","Impairment Not Known","West","Unknown","Car","Other Violation","1","Not Applicable","Not Applicable"
"CR-0000087032","ACV-0000177991","F","81","","Major","Driver","Had Not Been Drinking","West","Proceeding Straight","Car","None Apparent","1","Unknown","Unknown"
"CR-0000087041","ACV-0000178011","M","51","","Minor","Driver","Had Not Been Drinking","West","Stopped","Panel Truck","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000087038","ACV-0000178003","","0","","Major","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000087027","ACV-0000177980","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000087030","ACV-0000177986","M","21","","Major","Driver","Had Not Been Drinking","South","Making Left Turn","Car","None Apparent","1","22350","Speeding"
"CR-0000087034","ACV-0000177995","","0","","Major","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000087039","ACV-0000178007","F","25","","Moderate","Driver","Had Not Been Drinking","West","Making Right Turn","Car","None Apparent","1","22450","Fail Stop/Sign"
"CR-0000087027","ACV-0000177977","","0","","Moderate","Driver","Impairment Not Known","North","Proceeding Straight","Car","Other Violation","1","22350","Speeding"
"CR-0000087037","ACV-0000178001","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000087038","ACV-0000178004","","0","","Major","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000087027","ACV-0000177978","F","39","","Moderate","Driver","Had Not Been Drinking","North","Slowing/Stopping","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000087030","ACV-0000177987","","0","","Minor","Parked","Not Applicable","Not Applicable","Parked","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000087031","ACV-0000177988","M","0","","Unknown","Driver","Impairment Not Known","East","Passing Other Vehicles","Car","Unknown","1","Unknown","Unknown"
"CR-0000087035","ACV-0000177997","","0","","Major","Driver","Impairment Not Known","West","Proceeding Straight","Car","Other Violation","1","22350","Speeding"
"CR-0000087028","ACV-0000177982","M","29","","Minor","Driver","Had Not Been Drinking","North","Proceeding Straight","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000087038","ACV-0000178002","","0","","Major","Driver","Impairment Not Known","North","Ran Off Road","Car","Other Violation","1","22107","Unsafe Turn Movement"
"CR-0000087029","ACV-0000177984","","0","","Unknown","Driver","Impairment Not Known","West","Backing","Panel Truck","Other Violation","1","22106","Unsafe Backing"
"CR-0000087036","ACV-0000177998","","0","","Major","Driver","Impairment Not Known","West","Proceeding Straight","Car","Other Violation","1","22350","Speeding"
"CR-0000087039","ACV-0000178008","M","82","","Minor","Driver","Had Not Been Drinking","North","Proceeding Straight","Car","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000087029","ACV-0000177985","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000087033","ACV-0000177992","","0","","Unknown","Driver","Impairment Not Known","Unknown","Other Unsafe Turning","Car","Unknown","1","Unknown","Unknown"
"CR-0000087034","ACV-0000177994","F","26","","Major","Driver","Impairment Not Known","South","Proceeding Straight","Car","None Apparent","1","21651","Divided Highway"
"CR-0000087041","ACV-0000178010","","0","","Unknown","Driver","Impairment Not Known","West","Proceeding Straight","Car","Other Violation","1","22350","Speeding"
"CR-0000087043","ACV-0000178015","","0","","Minor","Parked","Not Applicable","Not Applicable","Parked","Panel Truck","None Apparent","1","Not Applicable","Not Applicable"
"CR-0000087044","ACV-0000178017","M","44","","Moderate","Driver","Had Been Drinking - Not Under Influence","South","Proceeding Straight","Car","None Apparent","1","Unknown","Unknown"
"CR-0000087044","ACV-0000178018","M","51","","Not Applicable","Pedestrian","Impairment Not Known","Not Applicable","Other (Ped)","Pedestrian","None Apparent","1","Unknown","Unknown"
"CR-0000087045","ACV-0000178020","F","38","","Major","Driver","Had Been Drinking - Under Influence","West","Making Right Turn","Car","Under Influence","1","22350","Speeding"
"CR-0000087045","ACV-0000178022","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000087052","ACV-0000178036","","0","","Major","Driver","Impairment Not Known","East","Proceeding Straight","Panel Truck","Other Violation","1","22450","Fail Stop/Sign"
